Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
"Korea, Rep.",KOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39575.45428,40957.41806,42487.04195,42849.47908,43319.2383
Kuwait,KWT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44685.49743,50855.55291,51690.56896,51962.04776,47289.37168
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14810.91594,15419.8205,15874.78708,16168.37907,15101.59191
Lao PDR,LAO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6843.559583,7257.812107,7775.131876,8220.178873,8236.098391
Lebanon,LBN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15535.50465,16043.0607,16054.36246,15179.58021,12114.06056
Liberia,LBR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1429.792082,1564.197682,1581.039485,1531.920186,1467.811781
Libya,LBY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11108.72368,13238.00054,15378.57276,15815.87691,10842.25253
St. Lucia,LCA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14292.0817,14928.3961,15653.2998,15843.71599,12705.09815
Latin America & Caribbean,LCN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15295.06179,15928.5587,16398.40092,16743.93403,15675.77161
Least developed countries: UN classification,LDC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2712.24123,2837.966992,2979.962896,3122.242155,3118.976915
Low income,LIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1865.633078,1919.791697,1988.474916,2059.602141,2048.986537
Liechtenstein,LIE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12224.21577,12584.10479,13169.0947,13622.86045,13219.68883
Lower middle income,LMC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6436.754953,6728.309747,7125.00402,7416.113703,7133.315595
Low & middle income,LMY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,9537.62158,9992.687715,10601.93522,11048.0585,10821.9705
Lesotho,LSO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2990.283703,2668.291425,2677.436314,2693.198373,2443.168125
Late-demographic dividend,LTE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15120.2504,15944.63262,17153.69482,18145.38464,18217.5742
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30925.17085,33761.87124,36365.36049,38805.74943,39191.94871
Luxembourg,LUX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,113365.1761,114985.8422,117245.2789,119415.4698,118503.551
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26721.7262,28673.5634,30811.07179,32240.80702,32212.39316
"Macao SAR, China",MAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,114893.0153,126144.1041,135551.8079,132654.8967,60872.83896
St. Martin (French part),MAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Morocco,MAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7113.0046,7312.056779,7625.735753,7856.245057,7296.158065
Monaco,MCO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Moldova,MDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10610.47784,11651.31745,12659.98366,13577.40658,12995.56041
Madagascar,MDG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1606.667405,1584.424519,1630.189357,1687.069227,1543.585304
Maldives,MDV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17411.34725,18057.91092,19245.08139,20335.58933,13438.47641
Middle East & North Africa,MEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15552.90183,16179.47865,16503.25349,16673.49675,16021.10559
Mexico,MEX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,19323.66587,19721.26098,20258.81045,20456.96437,18793.74454
Marshall Islands,MHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3548.86888,3711.896004,3912.698706,4219.79344,4146.393468
Middle income,MIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10363.56803,10874.14953,11556.27315,12059.96734,11827.0402
North Macedonia,MKD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15137.96925,15706.46174,16725.81473,17724.02081,17015.22949
Mali,MLI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2189.006622,2246.797421,2338.533676,2419.886841,2347.113815
Malta,MLT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39886.9498,42644.05085,44482.23968,46766.76668,42640.1161
Myanmar,MMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4031.179736,4224.545031,4575.13099,4940.152499,5121.917559
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10149.42424,10446.03744,10593.14263,10665.43173,10323.57852
Montenegro,MNE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18199.33029,19682.28335,21547.28254,23343.92817,20542.7146
Mongolia,MNG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10737.48613,11366.30394,12317.44092,13014.1129,12362.34183
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Mozambique,MOZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1363.674953,1283.65987,1320.702265,1335.986411,1296.921395
Mauritania,MRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4700.106262,5108.549132,5318.085954,5569.995262,5388.078903
Mauritius,MUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20701.21897,21415.11611,22741.35132,23836.91689,20522.85994
Malawi,MWI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1454.358941,1472.146868,1532.668475,1602.146782,1591.012708
Malaysia,MYS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,25546.12952,26661.50742,28239.50008,29623.40516,27913.28927
North America,NAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,56863.84575,58922.10326,61761.99008,63781.39324,61832.17825
Namibia,NAM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10427.12176,10171.4215,10329.65502,10227.58262,9294.624331
New Caledonia,NCL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Niger,NER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1153.339689,1163.22617,1229.223782,1276.153883,1287.778851
Nigeria,NGA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5234.679127,5190.356127,5278.848395,5352.679423,5184.480233
Nicaragua,NIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5694.054287,6004.014088,5867.243891,5682.215978,5567.647462
Netherlands,NLD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,52288.41508,55088.6338,57901.09701,59675.18034,59334.21484
Norway,NOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,58939.91261,64050.75617,69710.48451,68345.06942,63287.60701
Nepal,NPL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2989.675006,3565.197807,3864.322124,4119.922339,4007.012803
Nauru,NRU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13645.41063,12975.39238,13963.76739,14099.48535,14334.83232
New Zealand,NZL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,39955.80303,42285.3199,43930.88142,45073.20308,44212.87648
OECD members,OED,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,41795.78114,43389.81046,45106.00074,46426.67024,44822.96381
Oman,OMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,28908.54054,29077.3636,29125.45574,28540.787,
Other small states,OSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21180.33828,22637.09591,23213.40061,23700.0785,22292.13099
Pakistan,PAK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4410.006565,4571.205078,4853.266557,4896.393145,4811.097563
Panama,PAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27828.55571,30446.84957,31784.31449,32769.87032,26772.51154
Peru,PER,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12013.37739,12506.52938,13088.29584,13397.27392,11874.09814
Philippines,PHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7703.762275,8120.868793,8720.607379,9291.726915,8386.724327
